GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Same house 1 year ago,Margin of Error; Total: - Same house 1 year ago,Estimate; Total: - Different house in United States 1 year ago:,Margin of Error; Total: - Different house in United States 1 year ago:,Estimate; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area:,Margin of Error; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area:,Estimate; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from principal city,Margin of Error; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from principal city,Estimate; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area,Margin of Error; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area,Estimate; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area:,Margin of Error; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area:,Estimate; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from principal city,Margin of Error; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from principal city,Estimate; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area,Margin of Error; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area,Estimate; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area:,Margin of Error; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area:,Estimate; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from principal city,Margin of Error; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from principal city,Estimate; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from remainder of Micropolitan Statistical Area,Margin of Error; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from remainder of Micropolitan Statistical Area,Estimate; Total: - Different house in United States 1 year ago: - Not in a Metropolitan or Micropolitan Statistical Area 1 year ago,Margin of Error; Total: - Different house in United States 1 year ago: - Not in a Metropolitan or Micropolitan Statistical Area 1 year ago,Estimate; Total: - Abroad 1 year ago,Margin of Error; Total: - Abroad 1 year ago
1500000US360470001001,360470001001,"Block Group 1, Census Tract 1, Kings County, New York",648,187,552,178,96,70,96,70,83,68,13,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470001002,360470001002,"Block Group 2, Census Tract 1, Kings County, New York",1048,276,981,276,60,45,53,43,53,43,0,12,7,14,0,12,7,14,0,12,0,12,0,12,0,12,7,14
1500000US360470001003,360470001003,"Block Group 3, Census Tract 1, Kings County, New York",1350,260,1175,270,175,109,108,67,80,59,28,43,67,84,0,12,67,84,0,12,0,12,0,12,0,12,0,12
1500000US360470001004,360470001004,"Block Group 4, Census Tract 1, Kings County, New York",1508,333,1206,246,302,232,302,232,302,232,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470002001,360470002001,"Block Group 1, Census Tract 2, Kings County, New York",1595,328,1454,284,141,148,120,143,113,143,7,16,11,17,11,17,0,12,10,15,10,15,0,12,0,12,0,12
1500000US360470003011,360470003011,"Block Group 1, Census Tract 3.01, Kings County, New York",777,201,731,200,33,29,33,29,33,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,28
1500000US360470003012,360470003012,"Block Group 2, Census Tract 3.01, Kings County, New York",1288,341,1167,338,121,105,121,105,106,104,15,24,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470003013,360470003013,"Block Group 3, Census Tract 3.01, Kings County, New York",747,211,637,198,110,78,110,78,80,74,30,47,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470003014,360470003014,"Block Group 4, Census Tract 3.01, Kings County, New York",875,497,773,495,102,68,102,68,102,68,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
