tree_dbh,status,health,spc_common,latitude,longitude
8,Alive,Fair,orange ,40.72159247,-73.980292
3,Alive,Good,orange ,40.73538525,-74.00334974
9,Alive,Fair,orange ,40.76511256,-73.95487737
1,Alive,Good,orange ,40.72515144,-73.98334627
11,Alive,Good,orange ,40.84650281,-73.93335339
8,Alive,Good,orange ,40.84646093,-73.93325255
4,Alive,Good,orange ,40.72634699,-73.98019153
16,Alive,Good,orange ,40.80782104,-73.95537633
2,Alive,Good,orange ,40.80035526,-73.95576511
2,Alive,Good,orange ,40.80040278,-73.95587788
11,Alive,Good,yellow,40.72948641,-74.00244634
15,Alive,Fair,yellow,40.72891927,-74.00267229
13,Alive,Fair,yellow,40.72865517,-74.00279442
11,Alive,Fair,yellow,40.72938092,-74.00245879
11,Alive,Fair,yellow,40.72924913,-74.00251974
11,Alive,Good,yellow,40.78228824,-73.98051761
11,Alive,Fair,yellow,40.72878748,-74.00273323
29,Alive,Good,yellow,40.7952482,-73.97615652
8,Alive,Good,yellow,40.79167674,-73.97903221
25,Alive,Good,yellow,40.79246071,-73.97747944
26,Alive,Good,yellow,40.79185458,-73.97867208
24,Alive,Good,yellow,40.79240372,-73.97749566
19,Alive,Good,yellow,40.79066317,-73.97992018
10,Alive,Good,yellow,40.78969076,-73.98067048
7,Alive,Good,yellow,40.79395345,-73.97699253
29,Alive,Good,yellow,40.79217847,-73.97780161
37,Alive,Good,yellow,40.79216568,-73.97788569
26,Alive,Good,yellow,40.79123272,-73.9795037
3,Alive,Good,yellow,40.79109568,-73.97964316
20,Alive,Good,yellow,40.790244,-73.98026594
9,Alive,Good,yellow,40.78844402,-73.98118986
8,Alive,Good,yellow,40.79483072,-73.97667498
24,Alive,Good,yellow,40.79211512,-73.97792707
3,Alive,Good,yellow,40.79114347,-73.97956896
15,Alive,Good,yellow,40.79009602,-73.9803349
7,Alive,Good,yellow,40.78840089,-73.98116002
9,Alive,Good,yellow,40.7941774,-73.97694155
9,Alive,Fair,yellow,40.79132291,-73.97942624
4,Alive,Good,yellow,40.79019102,-73.98026543
17,Alive,Good,yellow,40.79237896,-73.97756583
29,Alive,Good,yellow,40.79230427,-73.97765654
19,Alive,Good,yellow,40.79038295,-73.98012509
10,Alive,Good,yellow,40.79029275,-73.98019105
5,Alive,Good,yellow,40.79201507,-73.97825482
4,Alive,Good,yellow,40.79014947,-73.98033506
30,Alive,Good,yellow,40.79005734,-73.98040243
3,Alive,Good,yellow,40.78936005,-73.98087331
9,Alive,Good,yellow,40.78855892,-73.98117766
33,Alive,Good,yellow,40.79223681,-73.97776309
9,Alive,Good,yellow,40.78916048,-73.98099773
2,Alive,Good,yellow,40.78877834,-73.98115437
4,Alive,Good,yellow,40.79210877,-73.97800799
5,Alive,Good,yellow,40.78942913,-73.98082274
23,Alive,Good,yellow,40.79206434,-73.97804822
4,Alive,Good,yellow,40.79168777,-73.97895292
7,Alive,Good,yellow,40.78992712,-73.9804584
5,Alive,Good,yellow,40.79248761,-73.97740701
27,Alive,Good,yellow,40.78977521,-73.98060873
11,Alive,Good,yellow,40.78889332,-73.98113092
22,Alive,Good,yellow,40.79033948,-73.98019612
2,Alive,Good,yellow,40.78949217,-73.98081583
11,Alive,Good,yellow,40.7899633,-73.9804712
23,Alive,Good,yellow,40.78958235,-73.9807498
6,Alive,Good,yellow,40.78867602,-73.98116523
43,Alive,Good,yellow,40.7904388,-73.9801235
12,Alive,Good,yellow,40.7892977,-73.98095485
26,Alive,Good,yellow,40.78987933,-73.9805326
8,Alive,Good,yellow,40.78963922,-73.98066891
8,Alive,Good,yellow,40.78940104,-73.98088257
10,Alive,Good,yellow,40.7892896,-73.98092204
6,Alive,Good,yellow,40.78850758,-73.98114869
19,Alive,Good,yellow,40.78972127,-73.98060892
8,Alive,Good,yellow,40.79373302,-73.97701462
3,Alive,Good,yellow,40.79180285,-73.97880013
4,Alive,Good,yellow,40.78883939,-73.98111174
6,Alive,Good,yellow,40.79196117,-73.97839659
3,Alive,Good,yellow,40.79191054,-73.97845183
25,Alive,Good,yellow,40.79094291,-73.97971563
3,Alive,Good,yellow,40.78910185,-73.98105869
5,Alive,Good,yellow,40.788727,-73.9811254
7,Alive,Good,yellow,40.78861921,-73.98113684
7,Alive,Good,yellow,40.78904686,-73.98104568
3,Alive,Good,yellow,40.79053458,-73.98001421
3,Alive,Good,yellow,40.78900149,-73.98109886
7,Alive,Good,yellow,40.78894167,-73.98108142
13,Alive,Good,yellow,40.78921622,-73.98100261
4,Alive,Good,yellow,40.79254459,-73.97739079
21,Alive,Good,yellow,40.78980572,-73.98054717
4,Alive,Good,yellow,40.82563468,-73.9527268
5,Alive,Good,yellow,40.82559866,-73.95264113
14,Alive,Good,yellow,40.72387399,-74.00481034
29,Alive,Good,yellow,40.82614769,-73.95289039
8,Alive,Good,yellow,40.82794021,-73.95125486
29,Alive,Good,yellow,40.80116148,-73.97115694
35,Alive,Good,yellow,40.82776409,-73.95142886
29,Alive,Fair,yellow,40.8028232,-73.96994205
32,Alive,Good,yellow,40.82808088,-73.95119071
6,Alive,Good,yellow,40.82806816,-73.95116074
6,Alive,Good,yellow,40.83866383,-73.93544438
14,Alive,Fair,yellow,40.82748108,-73.95168699
21,Alive,Good,yellow,40.83452103,-73.93781297
11,Alive,Good,yellow,40.80340347,-73.96927378
30,Alive,Good,yellow,40.80383381,-73.96906827
33,Alive,Good,yellow,40.80445322,-73.96867139
3,Alive,Good,yellow,40.80436635,-73.96872705
19,Alive,Good,yellow,40.803934,-73.96900407
9,Alive,Good,yellow,40.80247228,-73.97004472
4,Alive,Good,yellow,40.80410279,-73.96889592
13,Alive,Fair,yellow,40.80321262,-73.96950958
7,Alive,Fair,yellow,40.74301132,-73.98838002
10,Alive,Good,yellow,40.80401642,-73.96895126
12,Alive,Good,yellow,40.80404086,-73.96905626
18,Alive,Good,yellow,40.80260411,-73.96994792
15,Alive,Good,yellow,40.80273043,-73.96985517
32,Alive,Good,yellow,40.80553867,-73.96806047
5,Alive,Good,yellow,40.80499609,-73.96835031
10,Alive,Good,yellow,40.80539233,-73.96813864
27,Alive,Good,yellow,40.83450789,-73.93891518
35,Alive,Good,yellow,40.80509681,-73.96829651
4,Alive,Good,yellow,40.83502061,-73.93854309
4,Alive,Good,yellow,40.79180743,-73.97871831
10,Alive,Good,yellow,40.79001061,-73.98039735
32,Alive,Good,yellow,40.83486317,-73.93865735
24,Alive,Good,yellow,40.83444587,-73.93896018
31,Alive,Good,yellow,40.83457808,-73.93886424
6,Alive,Good,yellow,40.83469683,-73.93877806
13,Alive,Good,yellow,40.83463144,-73.93882551
3,Alive,Good,yellow,40.73531599,-73.98289979
4,Alive,Good,yellow,40.82133615,-73.94832088
25,Alive,Good,yellow,40.86641365,-73.93233717
11,Alive,Good,yellow,40.77183114,-73.94925768
14,Alive,Good,yellow,40.7717179,-73.94898978
16,Alive,Fair,yellow,40.72415134,-73.99040817
30,Alive,Fair,yellow,40.80703043,-73.96755456
22,Alive,Good,yellow,40.80706423,-73.96749602
22,Alive,Good,yellow,40.80777536,-73.96707087
30,Alive,Good,yellow,40.80789443,-73.96698532
38,Alive,Fair,yellow,40.8090533,-73.96585411
35,Alive,Good,yellow,40.80965138,-73.96541585
10,Alive,Good,yellow,40.81097113,-73.96445155
2,Alive,Good,yellow,40.80684377,-73.96766879
2,Alive,Good,yellow,40.80714908,-73.96748144
11,Alive,Good,yellow,40.80726449,-73.96740559
5,Alive,Good,yellow,40.80658229,-73.96782696
5,Alive,Good,yellow,40.80811974,-73.96681257
45,Alive,Good,yellow,40.80871886,-73.96616471
41,Alive,Good,yellow,40.80795372,-73.96693986
10,Alive,Good,yellow,40.80889073,-73.96598664
32,Alive,Good,yellow,40.80644716,-73.96786428
5,Alive,Good,yellow,40.80652052,-73.96786103
37,Alive,Fair,yellow,40.80772068,-73.9671094
6,Alive,Good,yellow,40.80923822,-73.96567933
5,Alive,Good,yellow,40.80769113,-73.96709125
5,Alive,Good,yellow,40.8079904,-73.96687202
28,Alive,Good,yellow,40.80696572,-73.96759416
5,Alive,Good,yellow,40.80781629,-73.9670031
12,Alive,Good,yellow,40.80850466,-73.96642446
3,Alive,Good,yellow,40.81035411,-73.96486115
31,Alive,Good,yellow,40.81109849,-73.96436082
37,Alive,Good,yellow,40.81049981,-73.96479438
11,Alive,Good,yellow,40.80733177,-73.96736137
4,Alive,Good,yellow,40.80679662,-73.96769776
36,Alive,Good,yellow,40.80830155,-73.96664706
22,Alive,Good,yellow,40.80832185,-73.96662853
5,Alive,Good,yellow,40.80961232,-73.9654052
5,Alive,Good,yellow,40.81085198,-73.96453822
10,Alive,Good,yellow,40.80984445,-73.9652351
4,Alive,Good,yellow,40.81074628,-73.96461511
42,Alive,Good,yellow,40.81121502,-73.96427992
9,Alive,Good,yellow,40.80840609,-73.96653951
9,Alive,Good,yellow,40.80984035,-73.96527738
32,Alive,Good,yellow,40.8065798,-73.96779112
5,Alive,Good,yellow,40.80672358,-73.96774289
34,Alive,Good,yellow,40.8074683,-73.96727164
28,Alive,Good,yellow,40.80757718,-73.96716278
3,Alive,Good,yellow,40.80807578,-73.96680656
6,Alive,Good,yellow,40.80941541,-73.96558877
26,Alive,Good,yellow,40.80783343,-73.96702994
40,Alive,Good,yellow,40.80845948,-73.96647719
4,Alive,Good,yellow,40.80940272,-73.96555878
28,Alive,Good,yellow,40.81132278,-73.9641663
29,Alive,Good,yellow,40.8075884,-73.96719376
9,Alive,Good,yellow,40.80950344,-73.96548498
6,Alive,Good,yellow,40.80995786,-73.96519128
29,Alive,Good,yellow,40.81044215,-73.96483632
41,Alive,Good,yellow,40.81085378,-73.9644977
31,Alive,Fair,yellow,40.81115676,-73.96432037
29,Alive,Good,yellow,40.80824517,-73.96669853
31,Alive,Good,yellow,40.80881654,-73.96600815
34,Alive,Good,yellow,40.81079913,-73.96457666
5,Alive,Good,yellow,40.80893703,-73.96594782
7,Alive,Good,yellow,40.8090051,-73.96589077
34,Alive,Good,yellow,40.80914613,-73.9657468
2,Alive,Good,yellow,40.80976265,-73.96533432
7,Alive,Good,yellow,40.80838551,-73.96651767
33,Alive,Good,yellow,40.80807468,-73.96684712
43,Alive,Good,yellow,40.80830832,-73.96664088
4,Alive,Good,yellow,40.80854495,-73.96633144
10,Alive,Good,yellow,40.80952332,-73.96550969
4,Alive,Good,yellow,40.80912044,-73.9658049
12,Alive,Good,yellow,40.80878396,-73.96608712
3,Alive,Good,yellow,40.81014151,-73.96501641
34,Alive,Good,yellow,40.80753214,-73.96722968
6,Alive,Good,yellow,40.80645723,-73.96789593
24,Alive,Good,yellow,40.80713399,-73.967453
13,Alive,Good,yellow,40.81055542,-73.96471472
9,Alive,Good,yellow,40.80838433,-73.96656491
11,Alive,Good,yellow,40.80989311,-73.96523872
4,Alive,Good,yellow,40.81130339,-73.96421857
13,Alive,Good,yellow,40.71985978,-73.99253064
9,Alive,Good,yellow,40.80819556,-73.96674383
39,Alive,Good,yellow,40.80867093,-73.9662231
25,Alive,Good,yellow,40.81144513,-73.96408828
12,Alive,Good,yellow,40.71990718,-73.99268833
10,Alive,Good,yellow,40.81151691,-73.96409306
8,Alive,Good,yellow,40.80992119,-73.96517886
2,Alive,Good,yellow,40.81093029,-73.96448126
5,Alive,Good,yellow,40.80799878,-73.96690531
11,Alive,Good,yellow,40.80863889,-73.96626262
3,Alive,Good,yellow,40.80961781,-73.96544045
6,Alive,Good,yellow,40.81133495,-73.96419666
9,Alive,Good,yellow,40.80970344,-73.96533842
21,Alive,Good,yellow,40.81095852,-73.96442152
5,Alive,Good,yellow,40.81155389,-73.96407932
12,Alive,Good,yellow,40.80327194,-73.96827349
32,Alive,Good,yellow,40.81145377,-73.96412067
21,Alive,Good,yellow,40.81001542,-73.96514884
25,Alive,Good,yellow,40.81061067,-73.96467453
13,Alive,Good,yellow,40.81163964,-73.96405498
45,Alive,Good,yellow,40.80228087,-73.97052216
18,Alive,Good,yellow,40.80313927,-73.96990804
27,Alive,Good,yellow,40.80296996,-73.96998964
13,Alive,Good,yellow,40.80349746,-73.96965284
11,Alive,Good,yellow,40.80527853,-73.96847826
18,Alive,Good,yellow,40.80155292,-73.97106367
32,Alive,Good,yellow,40.80134951,-73.97116831
30,Alive,Good,yellow,40.80267959,-73.9702365
44,Alive,Good,yellow,40.80271719,-73.97020956
12,Alive,Good,yellow,40.80201979,-73.97071543
4,Alive,Good,yellow,40.80328747,-73.96980245
38,Alive,Good,yellow,40.80530341,-73.96850225
18,Alive,Good,yellow,40.80569674,-73.96829855
35,Alive,Fair,yellow,40.80162867,-73.97101009
46,Alive,Good,yellow,40.8055583,-73.96837025
31,Alive,Good,yellow,40.80146439,-73.97112616
14,Alive,Good,yellow,40.80161809,-73.97097852
13,Alive,Good,yellow,40.80320685,-73.96985989
14,Alive,Good,yellow,40.80324064,-73.96983582
14,Alive,Good,yellow,40.80360849,-73.96957374
11,Alive,Good,yellow,40.80369538,-73.96951183
9,Alive,Good,yellow,40.80544541,-73.96842871
16,Alive,Good,yellow,40.80176444,-73.9709078
12,Alive,Good,yellow,40.80299203,-73.97001294
32,Alive,Good,yellow,40.8047813,-73.96873689
31,Alive,Good,yellow,40.80549547,-73.96840279
2,Alive,Good,yellow,40.80459186,-73.9688959
11,Alive,Good,yellow,40.80383393,-73.96941312
2,Alive,Good,yellow,40.80497824,-73.96867135
7,Alive,Good,yellow,40.80332609,-73.96977494
14,Alive,Good,yellow,40.80465986,-73.96884876
9,Alive,Good,yellow,40.80211745,-73.97064186
29,Alive,Good,yellow,40.80253013,-73.97034358
27,Alive,Good,yellow,40.8026145,-73.97028313
5,Alive,Good,yellow,40.80351194,-73.96964252
35,Alive,Fair,yellow,40.80109821,-73.9713812
4,Alive,Good,yellow,40.80515346,-73.9685433
42,Alive,Good,yellow,40.80575803,-73.96826681
32,Alive,Good,yellow,40.80256147,-73.97032113
15,Alive,Good,yellow,40.80374703,-73.96947503
3,Alive,Good,yellow,40.80469141,-73.9687881
35,Alive,Good,yellow,40.80285605,-73.97011008
17,Alive,Good,yellow,40.8031803,-73.96987881
4,Alive,Good,yellow,40.80441986,-73.96897477
11,Alive,Good,yellow,40.80538258,-73.96846125
